_id,numberOfAnime,averageEpisodes,releasePeriodStart,releasePeriodEnd,averageRating
Detective Conan Movie 23: The Fist of Blue Sapphire,24,103,1996,,4.08
Detective Conan Movie 8: Magician of the Silver Sky,24,103,1996,,4.0808333333333335
Detective Conan Movie 5: Countdown to Heaven,24,103,1996,,4.0808333333333335
Detective Conan Movie 21: Kara Kurenai no Love Letter,24,103,1996,,4.085
Detective Conan Movie 10: The Private Eyes' Requiem,24,103,1996,,4.0687500000000005
Detective Conan Movie 4: Captured In her Eyes,24,103,1996,,4.082916666666667
Detective Conan Movie 2: The Fourteenth Target,24,103,1996,,4.084583333333334
Detective Conan Movie 17: Zekkai no Private Eye,24,103,1996,,4.085833333333333
Detective Conan Movie 14: The Lost Ship in the Sky,24,103,1996,,4.078333333333333
Detective Conan Movie 1: The Time Bombed Skyscraper,24,103,1996,,4.085
Fate/Kaleid Liner Prisma Illya 3rei!!,24,8.461538461538462,2006,2017,3.6847826086956523
Pokemon Advanced,24,89.6,1997,2019,3.4137500000000003
Detective Conan Movie 15: Quarter of Silence,24,103,1996,,4.079166666666667
Zhu Zhu Xia: Jimu Shijie De Tong Hua,23,54.94117647058823,2005,2017,3.3850000000000002
Zhu Zhu Xia: Fan Wai - Pin Zhuang Tegong Dui,23,56.470588235294116,2005,,3.382
Bai Bian Zhu Zhu Xia,23,53.294117647058826,2005,2017,3.3899999999999997
Zhu Zhu Xia Movie 2: Yong Chuang Juren Dao,23,54.77777777777778,2005,2017,3.3905000000000003
Ghost in the Shell: Stand Alone Complex,23,12.571428571428571,1995,2014,3.7117391304347827
Zhu Zhu Xia Movie 1: Jiong Jiong Wei Ji,23,54.77777777777778,2005,2017,3.3884999999999996
Ghost in the Shell: Arise,23,15,1995,2014,3.6891304347826086
Zhu Zhu Xia: Chao Xing Meng Chong,23,50.705882352941174,2005,2017,3.3880000000000003
Zhu Zhu Xia: Xingfu Jiuyuan Dui,23,54.94117647058823,2005,2017,3.3869999999999996
Zhu Zhu Xia: Bian Shen Zhandu,23,54.94117647058823,2005,2017,3.3869999999999996
Zhu Zhu Xia: Bai Bian Lian Meng,23,54.94117647058823,2005,2017,3.3869999999999996
Zhu Zhu Xia: Wu Ling Shou Wei Zhe,23,54.94117647058823,2005,2017,3.386
Zhu Zhu Xia Movie 3: Zhong Ji Jue Zhan - Qian Ye Pian,23,54.94117647058823,2005,2017,3.3840000000000003
Fate/Zero 2,23,9.384615384615385,2006,2017,3.683478260869565
Zhu Zhu Xia Movie 5: Bukesiyi de Shijie,23,54.77777777777778,2005,2017,3.387142857142857
Zhu Zhu Xia: Yong Chuang Weilai Cheng,23,55.64705882352941,2005,2017,3.3895000000000004
Zhu Zhu Xia: Konglong Riji,23,54.94117647058823,2005,2017,3.387142857142857
Zhu Zhu Xia: Guang Ming Shou Wei Zhe,23,54.94117647058823,2005,2017,3.3855000000000004
Zhu Zhu Xia: Wu Xia 2008,23,56.8235294117647,2005,2017,3.3869999999999996
Zhu Zhu Xia: Meng Xiang Shou Wei Zhe,23,54.94117647058823,2005,2017,3.3875
Fate/stay night: Unlimited Blade Works,23,9.083333333333334,2006,2017,3.743913043478261
Zhu Zhu Xia Movie 3: Zhong Ji Jue Zhan,23,54.77777777777778,2005,2017,3.3875
Zhu Zhu Xia: Da Nao Huang Gong,23,54.77777777777778,2006,2017,3.393
Zhu Zhu Xia Movie 4: Ying Xiong Zhu Shao Nian,23,54.77777777777778,2005,2017,3.3840000000000003
Zhu Zhu Xia: Bian Shen Xiao Ying Xiong,23,54.94117647058823,2005,2017,3.3855000000000004
